,연번,비상소화장치일련번호,일련번호,X좌표,Y좌표,비상소화장치고유번호,사용구분,삭제여부,업데이트날짜,위도,경도,도로명주소
43,44,110081091,507,208093.86216797,548992.63398383,000061,52201,N,20231107120010,37.54040610279422,127.09158254261578,서울 광진구 구의동 207-34
44,45,110081092,508,209270.69452984,549863.34547482,000067,52201,N,20231107120010,37.548240116679374,127.10490944598654,서울 광진구 광장동 285-8
45,46,110081095,512,204424.66671873,548636.09178001,000073,52201,N,20231105120007,37.537218558090466,127.05006324571805,서울 성동구 성수동1가 334-1
46,47,110081097,515,205750.65547782,550051.37826482,000070,52201,N,20231019120009,37.549962960128795,127.06507732706866,서울 성동구 송정동 73-455
47,48,110081098,516,203905.3961874,551600.74064533,000076,52201,N,20231026120008,37.56393233327371,127.04420369169621,서울 성동구 마장동 산 25
48,49,110081100,518,204137.48284635,551141.19439059,000074,52201,N,20231113120034,37.559790825482295,127.0468279998236,서울 성동구 사근동 110
49,50,110081101,519,207911.70572616,552028.32088987,000075,52201,N,20231109120021,37.56775912366961,127.08955415707813,서울 광진구 중곡동 176-112
50,51,110081102,520,206311.00154839,549921.97843705,000077,52201,N,20231102120007,37.54879340532231,127.07141737000968,서울 광진구 군자동 362-11
51,52,110081103,521,207891.07773871,551313.88442227,000020,52201,N,20231109120021,37.561322262585776,127.08931297988438,서울 광진구 중곡동 147-134
52,53,110081105,523,207251.33912838,548811.95552697,000079,52201,N,20231111120009,37.53878520001331,127.08204756887044,서울 광진구 자양동 777
53,54,110081106,524,206855.56474577,549511.73102341,000080,52201,N,20231022120010,37.54509319584249,127.07757599076115,서울 광진구 화양동 473-2
54,55,110081107,525,207726.20899262,549909.47109678,000081,52201,N,20231107120010,37.54866994223279,127.0874321759454,서울 광진구 구의동 613-27
55,56,110081108,526,208497.66824942,550408.72558486,000108,52201,N,20231119120004,37.55316142362891,127.09616801670127,서울 광진구 구의동 15-1
56,57,110081109,527,206014.34804157,549402.89486052,000084,52201,N,20231022120010,37.54411845337761,127.06805609154698,서울 광진구 화양동 35-7
57,58,110081565,222,203334.41814726,556084.70133412,103,52201,N,20231119120004,37.60433475067479,127.03776141146399,서울 성북구 하월곡동 100-19
58,59,110081566,223,204511.46878491,556834.30090076,104,52201,N,20231016120009,37.61108354473853,127.05109581703334,서울 성북구 장위동 68-99
59,60,110081567,224,199947.08166397,556975.08439849,105,52201,N,20230930120003,37.61236304855327,126.99940064928704,서울 성북구 정릉동 843-10
60,61,110081504,353,201088.56433608,556897.80312549,78,52201,N,20231025120007,37.61166611030308,127.01232891602604,서울 성북구 정릉동 266-146
61,62,110081505,354,200761.6261875,553812.18479414,79,52201,N,20231021120008,37.58386529066808,127.00862285487703,서울 성북구 삼선동1가 288-3
62,63,110081508,357,201166.41280252,554167.28504488,83,52201,N,20231106120008,37.58706429543636,127.01320626692504,서울 성북구 삼선동3가 36-1
63,64,110081509,358,200725.70305473,556691.59961877,81,52201,N,20231118120007,37.609808596817984,127.00821899929404,서울 성북구 정릉동 353
64,65,110081510,359,204006.17867027,557246.01041692,84,52201,N,20231026120008,37.61479533943279,127.04537527752903,서울 성북구 장위동 230-235
65,66,110081511,360,200610.97862136,556923.73670292,85,52201,N,20231118120007,37.61190021012025,127.00691987371712,서울 성북구 정릉동 315-41
66,67,110081513,361,202970.81769211,554674.52911432,145,52201,N,20231112120003,37.5916304718117,127.03363801197781,주소를 찾을 수 없습니다
67,68,110081514,362,202446.38790558,555410.97095088,146,52201,N,20231118120007,37.59826729302152,127.02770245213206,서울 성북구 종암동 125-110
68,69,110081515,363,203682.98997004,556535.35133041,147,52201,N,20231119120004,37.60839373129277,127.04171116228845,서울 성북구 하월곡동 73-96
69,70,110080198,365,203350.07875912,546580.08214051,000015,52201,N,20231107120010,37.51869840575944,127.03789536468437,서울 강남구 논현동 279-46
70,71,110080199,366,202449.88228666,545446.13939083,000016,52201,N,20231107120010,37.508484365016464,127.02770876118176,서울 강남구 논현동 169-9
71,72,110080192,367,196389.78077156,551342.87648329,89,52201,N,20231116120041,37.56161019034575,126.95913857198735,서울 서대문구 북아현동 113-10
72,73,110080200,368,203076.90635137,545611.56709589,000017,52201,N,20231031120006,37.509972999724475,127.0348012459029,서울 강남구 논현동 227-4
73,74,110080201,369,202365.40917478,545663.4486448,000018,52201,N,20231107120010,37.51044255159931,127.02675404876062,서울 강남구 논현동 147
74,75,110080203,371,202388.74497026,546167.72760866,000020,52201,N,20231107120010,37.51498606556788,127.02701962700499,서울 강남구 논현동 28-17
75,76,110080207,373,205755.6814899,541625.67840616,000051,52201,N,20231101120003,37.474047060735415,127.065068266725,서울 강남구 개포동 570
76,77,110080193,374,196458.27197013,551608.12587447,100,52201,N,20231021120008,37.56400034328688,126.95991249301501,서울 서대문구 충정로3가 3-64
77,78,110080208,375,205674.24706543,541866.37739335,000052,52201,N,20231101120003,37.47621628451852,127.06414950063221,서울 강남구 개포동 570
78,79,110080209,376,205917.42023199,541924.62593391,000053,52201,N,20231101120003,37.47673958464522,127.0668991310306,서울 강남구 개포동 570
79,80,110080210,377,205814.35340062,541940.85762447,000054,52201,N,20231101120003,37.47688648763069,127.06573404236097,서울 강남구 개포동 570
80,81,110080211,378,205556.83120748,541879.96311761,000055,52201,N,20231101120003,37.47633940636301,127.06282217332802,서울 강남구 개포동 570
81,82,110080213,380,205705.93448956,541719.41393921,000057,52201,N,20231101120003,37.47489193510871,127.0645066005893,서울 강남구 개포동 산 153-2
82,83,110080218,381,203025.50419338,544662.22550834,000023,52201,N,20231013120007,37.50141955352089,127.03421595959374,서울 강남구 역삼동 644
83,84,110081383,384,191838.64735846,546832.48134203,000044,52201,N,20231102120007,37.52094252712006,126.90767779193244,서울 영등포구 영등포동5가 33-53
84,85,110081384,385,191451.00758246,543792.22146323,000001,52201,N,20231109120021,37.49354616313731,126.90332810008458,서울 영등포구 대림동 855-1
85,86,110081389,389,191577.24785981,546335.71068927,000049,52201,N,20231113120034,37.51646426514098,126.90472650377929,서울 영등포구 영등포동4가 440-10
86,87,110081392,391,191940.91020881,545491.24926303,000003,52201,N,20231113120034,37.50885888839421,126.90884929903295,서울 영등포구 신길동 278-98
87,88,110081393,392,191352.69028927,545566.83035847,000052,52201,N,20231106120008,37.50953455548729,126.9021954769696,서울 영등포구 도림동 144-266
88,89,110081394,393,192301.66739032,546036.39859569,000053,52201,N,20231021120008,37.51377378025742,126.91292385966082,서울 영등포구 신길동 188-303
89,90,110081395,394,192456.27789957,546037.96776182,000054,52201,N,20231025120007,37.513789194760314,126.91467264726987,서울 영등포구 신길동 186-92
90,91,110081396,395,191778.97482021,545694.76004279,000055,52201,N,20231106120008,37.510691100004024,126.90701548930521,서울 영등포구 도림동 124-6
91,92,110081398,397,192025.83037374,545594.64532641,000057,52201,N,20231116120041,37.509791227878814,126.90980864936337,서울 영등포구 신길동 225-22
92,93,110081400,398,191481.68929454,544399.50480638,000059,52201,N,20231116120041,37.49901810235148,126.90366802000416,서울 영등포구 신길동 415-2
93,94,110081401,399,191788.15393578,544363.76061551,000060,52201,N,20231116120041,37.49869882066332,126.90713416580859,서울 영등포구 신길동 443-11
94,95,110081402,400,191655.28099759,548142.3463211,000061,52201,N,20231025120007,37.532742781403634,126.90558865952858,서울 영등포구 당산동6가 8
95,96,110081406,402,192277.49349782,545910.05507571,000065,52201,N,20231015120025,37.51263521939057,126.91265175478526,서울 영등포구 신길동 186-195
96,97,110085227,0,204109.25357579,551528.27303053,000021,52201,N,20231113120034,37.56327851644392,127.04651066921575,서울 성동구 사근동 226-42
97,98,110081408,404,191579.13144769,544141.10873072,000067,52201,N,20231012120004,37.496690833704264,126.90477293008094,서울 영등포구 대림동 906-96
98,99,110081411,407,191714.83114223,545618.17484817,000075,52201,N,20231106120008,37.51000049150588,126.90629085105357,서울 영등포구 도림동 115-1
99,100,110081413,408,203796.00350005,556314.82772182,180,52201,N,20231116120041,37.60640637755169,127.04298993655341,서울 성북구 상월곡동 75-65
100,101,110080195,409,205318.20386023,542794.03977338,000047,52201,N,20231023120005,37.48457671933572,127.06013099753552,서울 강남구 개포동 156-3
101,102,110081414,410,203062.7871854,555690.78880963,181,52201,N,20231112120003,37.60078658130474,127.03468361482582,서울 성북구 종암동 3-1237
102,103,110081415,411,201876.27664673,555574.27843199,182,52201,N,20231117120006,37.599740017309905,127.02124703470133,서울 성북구 돈암동 38-19
103,104,110081416,412,202742.3683451,555851.48011132,183,52201,N,20231119120004,37.60223540513665,127.03105573011328,서울 성북구 종암동 81-44
104,105,110081417,414,200867.16282543,555552.21006732,184,52201,N,20231104120010,37.59954268731601,127.00981976197417,서울 성북구 정릉동 559-29
105,106,110081418,415,200238.49329303,557150.65372062,185,52201,N,20231021120008,37.61394487911438,127.00270122161217,서울 성북구 정릉동 757-64
106,107,110081420,417,202623.93643902,554330.47007745,187,52201,N,20231030120051,37.58853158062885,127.02970910884835,서울 성북구 안암동5가 13-1
107,108,110081421,418,202010.61807149,553981.75830304,188,52201,N,20231117120006,37.58539125636043,127.02276395156524,서울 성북구 안암동3가 54-3
108,109,110081422,419,201469.21719095,555206.19344417,189,52201,N,20231119120004,37.596424344196436,127.01663673828465,서울 성북구 동선동5가 106-1
109,110,110081423,420,203643.26521641,557014.58263742,190,52201,N,20231017120007,37.612711710704,127.04126365102725,서울 성북구 장위동 231-529
110,111,110081425,422,205451.4307095,556696.243568,192,52201,N,20231107120010,37.60983457429778,127.06174056764554,서울 성북구 석관동 281-16
111,112,110081427,424,200539.1056228,556923.98117395,194,52201,N,20231118120007,37.611902457701994,127.00610584857199,서울 성북구 정릉동 712-89
112,113,110081428,425,200007.34657817,557383.49139047,195,52201,N,20231102120007,37.616042750706356,127.00008321111676,서울 성북구 정릉동 834-3
113,114,110081429,426,199979.77957896,557203.73487849,2,52201,N,20231021120008,37.61442316501886,126.99977097809563,서울 성북구 정릉동 839-22
114,115,110080001,427,203866.78697905,556994.20845739,140,52201,N,20231017120007,37.61252722930126,127.04379515199223,서울 성북구 장위동 233-551
115,116,110080003,428,202568.84167513,554453.10018328,142,52201,N,20231030120051,37.58963662389923,127.0290857370472,서울 성북구 안암동5가 156-35
116,117,110080005,430,201967.22553463,555105.2542209,199,52201,N,20231117120006,37.59551396090382,127.02227568377822,서울 성북구 돈암동 74-287
117,118,110080006,431,200667.03881567,554283.04630428,200,52201,N,20231109120021,37.588107793117835,127.00755239964835,서울 성북구 동소문동2가 130-1
118,119,110080009,432,200043.83482098,556356.49926728,196,52201,N,20231014120003,37.60678966280216,127.00049643418082,서울 성북구 정릉동 644-1
119,120,110080010,433,200165.74701121,556291.5770137,205,52201,N,20231014120003,37.60620470601411,127.00187708847749,서울 성북구 정릉동 999
120,121,110080011,434,200095.53467114,557237.34269434,207,52201,N,20231021120008,37.61472596286886,127.0010820556602,서울 성북구 정릉동 760-51
121,122,110080012,435,200715.18162864,555483.31169117,198,52201,N,20231029120041,37.59892204983499,127.00809865785608,서울 성북구 정릉동 559-88
122,123,110080014,437,199737.90411913,556290.36901068,203,52201,N,20231014120003,37.60619379963003,126.99703175892877,서울 성북구 정릉동 1003
123,124,110085251,0,213919.20798984,543452.38819276,000037,52201,N,20231025120007,37.49041895343003,127.15739163645145,서울 송파구 마천동 330-13
124,125,110081111,529,203569.82438352,549746.51962028,000089,52201,N,20231110120028,37.54722721101894,127.04039646392181,서울 성동구 성수동1가 685-467
125,126,110081112,530,204901.06377033,550987.11741272,000087,52201,N,20231112120003,37.55839885309464,127.05546917045194,서울 성동구 용답동 223-7
126,127,110081113,531,205673.64625752,549978.37045008,000088,52201,N,20231019120009,37.549305638287564,127.06420528802792,서울 성동구 송정동 73-460
127,128,110081115,534,202691.64125105,550428.77264217,000100,52201,N,20231025120007,37.55337728073168,127.03046136518356,서울 성동구 행당동 산 30-41
128,129,110081116,535,202016.53043395,550067.57199084,000101,52201,N,20231110120028,37.55012459345537,127.02282012909866,서울 성동구 금호동3가 591
129,130,110081120,537,200861.27011132,549031.19905202,000105,52201,N,20231111120009,37.54078868485803,127.00974537454479,서울 성동구 옥수동 436-8
130,131,110081121,538,205731.92122279,548665.51993968,000086,52201,N,20231026120008,37.53747650906424,127.06485450337468,서울 광진구 자양동 843-3
131,132,110082129,539,193981.6739352,543601.31854758,000175,52201,N,20231107180129,37.49184606599093,126.93194638199299,서울 관악구 봉천동 686-40
132,133,110082131,541,193274.71693114,540999.94168025,000177,52201,N,20231013120007,37.468402567373346,126.92397605743257,서울 관악구 신림동 646-165
133,134,110082132,542,193995.35719297,541482.91534676,000178,52201,N,20231119120004,37.47275916852243,126.93211837824802,서울 관악구 신림동 산 156-11
134,135,110082133,543,195572.65606655,542671.09235739,000179,52201,N,20231119120004,37.48347365000206,126.94994236697555,서울 관악구 봉천동 872-23
135,136,110082134,544,194141.71970591,542367.13495115,000181,52201,N,20231029120041,37.48072700637533,126.93376595360351,서울 관악구 신림동 87-44
136,137,110082135,545,195296.37929304,545725.59776227,000274,52201,N,20231031120006,37.51099356711121,126.94679913283865,서울 동작구 노량진동 205-37
137,138,110082136,546,198002.60620671,543796.94203172,000275,52201,N,20231114120009,37.49362608923356,126.97741346911094,서울 동작구 사당동 48-3
138,139,110082139,549,194607.36442892,544706.3262426,000278,52205,N,20231103120009,37.501806116384884,126.93901342254993,서울 동작구 상도동 200-52
139,140,110082142,552,196694.12924939,543393.21472162,000281,52201,N,20231017120007,37.48998472176564,126.96261902563784,서울 동작구 사당동 190-236
140,141,110082143,553,195435.33787941,544586.57000089,000283,52201,N,20231019120009,37.500731569025234,126.94837790709168,서울 동작구 상도동 159-40
141,142,110082144,554,193791.67932402,540108.32078314,000007,52205,N,20231020120003,37.46037258115577,126.92982740797669,서울 관악구 신림동 산 76-7
142,143,110082149,559,193069.14732539,540759.63897272,000080,52201,N,20231107120010,37.46623589739649,126.92165451903183,서울 관악구 신림동 661-80
143,144,110082150,560,192523.44111787,540371.48452988,000059,52201,N,20231016120009,37.46273433410241,126.91548986761588,서울 관악구 신림동 675-1
144,145,110082151,561,192203.56280661,542620.70846988,000005,52201,N,20231027120009,37.482997407832144,126.91185037952194,서울 관악구 신림동 541
145,146,110082152,562,192928.07542623,541853.66002424,000087,52201,N,20231020120003,37.476092064696346,126.92004936336798,서울 관악구 신림동 598-128
146,147,110082153,563,193701.27600218,540105.9700325,000006,52205,N,20231020120003,37.46035078944716,126.92880560085113,서울 관악구 신림동 산 79-4
147,148,110082155,565,194711.2898951,541622.49827481,000030,52201,N,20231117120006,37.47402119659836,126.94021088818455,서울 관악구 신림동 102-9
148,149,110082156,566,194374.0115285,540624.79293334,000035,52201,N,20231119120004,37.465029778564436,126.93640555859575,서울 관악구 신림동 254-189
149,150,110082157,567,194252.9850412,540573.63606125,000036,52201,N,20231113120034,37.4645681054165,126.93503791204948,서울 관악구 신림동 254-130
150,151,110082158,568,194541.53158007,540838.8158298,000038,52201,N,20231113120034,37.466959151855015,126.93829756787005,서울 관악구 신림동 251-170
151,152,110081563,220,200973.42354963,556626.52508188,101,52201,N,20231019120009,37.609222053426635,127.01102448801909,서울 성북구 정릉동 402-90
152,153,110081564,221,204527.56909396,556703.93038392,102,52201,N,20231016120009,37.609908841813365,127.0512773587519,서울 성북구 장위동 68-161
153,154,110081861,2088,203303.31451508,557359.73458875,321,52201,N,20231119120004,37.61582277340522,127.03741492550772,서울 강북구 미아동 8-396
154,155,110081863,2090,203282.6380567,560801.3480894,38,52201,N,20231109120021,37.64683129781593,127.03719618568695,서울 도봉구 창동 651-90
155,156,110081864,2091,202102.00355351,561540.69714284,39,52201,N,20231112120003,37.65349616705795,127.02382032423961,서울 도봉구 쌍문동 460-295
156,157,110081865,2092,202720.59574993,558656.64344243,325,52201,N,20231119120004,37.6275096665601,127.03081959750722,서울 강북구 미아동 258-55
157,158,110081866,2093,201179.50563292,558607.56612129,421,52201,N,20231026120008,37.627070754869386,127.01336166002308,서울 강북구 수유동 486-1449
158,159,110080426,2094,195892.92278067,553018.29548388,140,52201,N,20231118120007,37.57670355577909,126.95350561945762,서울 서대문구 현저동 1-358
159,160,110081868,2095,203285.95736297,560020.2207038,43,52201,N,20231027120009,37.63979345313231,127.03723028474822,서울 도봉구 창동 581-28
160,161,110081871,2098,201499.60655489,558584.41670518,424,52201,N,20231111120009,37.626861715377366,127.01698777543005,서울 강북구 미아동 791-1210
161,162,110081872,2099,201567.60469542,558081.29783708,425,52201,N,20231112120003,37.62232856626778,127.01775699053974,서울 강북구 미아동 760-73
162,163,110081873,2100,203273.28795486,564342.22327496,48,52201,N,20231105120007,37.67873394478517,127.03710611461945,서울 도봉구 도봉동 435-20
163,164,110081874,2101,202683.45430191,558438.80111798,323,52201,N,20231119120004,37.62554704546674,127.03039805051127,서울 강북구 미아동 258-336
164,165,110081875,2102,201818.23771228,560811.09912783,202,52201,N,20231116120041,37.646923217861335,127.02060281718317,서울 강북구 수유동 252-153
165,166,110080428,2103,196319.79839284,551375.15993919,110,52201,N,20231116120041,37.56190078634689,126.9583463309369,서울 서대문구 북아현동 118-99
166,167,110081877,2105,202402.90947216,557089.1287063,314,52201,N,20231015120025,37.61338743833251,127.02721561852961,서울 강북구 미아동 471-14
167,168,110081880,2107,200998.85660327,562189.13669072,207,52201,N,20231018120001,37.65934035367346,127.01132012989545,서울 강북구 우이동 123-4
168,169,110081881,2108,202912.06168749,561449.09344917,61,52201,N,20231118120007,37.65266862299188,127.03299969842499,서울 도봉구 쌍문동 81-231
169,170,110081882,2109,202994.49254408,558477.9923155,112,52201,N,20231119120004,37.62589919265657,127.03392163775844,서울 강북구 번동 148-331
170,171,110081883,2110,203400.28980898,562375.65687179,59,52201,N,20231118120007,37.661015114519174,127.03853664901735,서울 도봉구 쌍문동 717
171,172,110081884,2111,204243.37024452,563840.27148826,60,52201,N,20231109120021,37.67420749309357,127.04810008091701,서울 도봉구 도봉동 641
172,173,110081569,226,204616.93630206,557421.95017478,107,52201,N,20231109120021,37.616377673010675,127.05229402398865,서울 성북구 장위동 76-55
173,174,110081570,227,205132.59496198,557328.6318592,108,52201,N,20231109120021,37.61553415347713,127.0581340075463,서울 성북구 장위동 33-1
174,175,110081572,229,204954.55321667,556590.22321341,110,52201,N,20231104120010,37.6088821524965,127.05611243108216,서울 성북구 석관동 340-109
175,176,110081575,231,204410.66909796,556799.80864798,113,52201,N,20231016120009,37.61077326217007,127.04995397641358,서울 성북구 장위동 68-324
176,177,110081576,232,204298.66268602,556617.66614684,114,52201,N,20231016120009,37.60913270846042,127.04868435452823,서울 성북구 장위동 252-15
177,178,110081577,233,205249.66855734,557341.21361855,115,52201,N,20231017120007,37.61564685292484,127.05946012373178,서울 성북구 장위동 25-27
178,179,110081578,234,204174.5128223,556766.2370522,116,52202,N,20231017120007,37.61047188766581,127.04727914737317,서울 성북구 장위동 246-341
179,180,110081579,235,203728.08537447,557427.90288943,117,52201,N,20231112120003,37.61643533821221,127.04222643030636,서울 성북구 장위동 219-67
180,181,110081580,236,203862.47346573,557526.09240285,118,52201,N,20231112120003,37.61731945943625,127.04374910473602,서울 성북구 장위동 219-101
181,182,110081124,238,206486.17554113,550621.72631719,000093,52201,N,20231103120009,37.55509690021133,127.07340587830335,서울 광진구 군자동 60-21
182,183,110081127,240,203877.06517813,551668.02108743,000097,52201,N,20231104120010,37.56453864701461,127.04388337946406,서울 성동구 마장동 784
183,184,110080982,241,201241.1745959,550291.85087882,217,52201,N,20231024120006,37.55214671211729,127.01404617028294,서울 중구 신당동 309-77
184,185,110080983,242,199464.48528578,551916.82740807,000218,52205,N,20231116120041,37.566788382237135,126.99393848138689,서울 중구 을지로3가 240-1
185,186,110080984,243,199573.87718259,552037.01327262,000219,52201,N,20231113120034,37.56787130893785,126.99517662406895,서울 중구 산림동 207-1
186,187,110080985,244,201098.86501494,552787.36766842,6-61,52201,N,20231116120041,37.57463140937687,127.01243941399055,서울 종로구 창신동 131-127
187,188,110080988,247,202583.29828947,553294.44137605,058,52205,N,20231019120009,37.579197147602095,127.02924533794902,서울 동대문구 용두동 796
188,189,110080989,248,203033.79922928,553912.09249567,059,52201,N,20231102120007,37.58476076988555,127.03434798315622,서울 동대문구 제기동 67-402
189,190,110080990,249,201042.53404308,552631.74934186,6-59,52201,N,20231116120041,37.573229361821035,127.01180151270736,서울 종로구 창신동 142-20
190,191,110080991,250,201547.24574026,551967.57884315,000228,52201,N,20231119120004,37.567244507172255,127.01751346089787,서울 중구 흥인동 165
191,192,110080992,251,199537.93868019,551583.63724384,000229,52201,N,20231118120007,37.56378639149126,126.99477011401159,서울 중구 인현동2가 199-1
192,193,110080993,252,200792.82892076,551696.69134524,000230,52201,N,20231030120051,37.56480477954,127.00897383340146,서울 중구 광희동2가 77
193,194,110080994,254,201238.53228194,551552.43790535,000207,52201,N,20231027120009,37.56350457016983,127.01401839525447,서울 중구 신당동 304-17
194,195,110080979,255,201493.99686809,551958.21223936,000214,52201,N,20231119120004,37.56716020233769,127.016910711446,서울 중구 흥인동 13-1
195,196,110080996,256,201227.72098872,552163.50721356,000226,52201,N,20231027120009,37.56901029444566,127.01389704982533,서울 중구 신당동 193-2
196,197,110080998,258,201727.04276919,551876.3765803,165,52201,N,20231119120004,37.56642245912552,127.01954839028164,서울 중구 황학동 378-2
197,198,110081000,260,201252.34693502,551100.73155629,96,52201,N,20231028120004,37.55943469221826,127.01417398612716,서울 중구 신당동 330-14
198,199,110081003,263,198025.84064834,550745.92658163,000397,52201,N,20231101120003,37.55623664592662,126.977657540005,서울 중구 남창동 205-147
199,200,110081004,264,197988.16413614,551220.67539647,000182,52201,N,20231031120006,37.56051403764725,126.97722983619167,서울 중구 남대문로4가 18-1
