"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"1526","110080814","1135","201680.80046008","551941.92679223","000045","52201","N","20231119120004"
"1527","110080816","1137","201177.38096024","551313.92737578","000047","52201","N","20231027120009"
"1528","110080817","1138","199755.83176722","551547.13833697","000048","52201","N","20231119120004"
"1529","110080818","1139","200483.40187493","551772.06441275","000042","52201","N","20231006120001"
"1530","110080820","1140","200318.80846912","551789.76540734","000051","52201","N","20231006120001"
"1531","110080821","1141","199946.77322744","552091.15196749","000049","52201","N","20231113120034"
"1532","110080824","1144","199616.38227152","551994.25869616","000044","52201","N","20231113120034"
"1533","110082242","1145","194287.48916959","540803.16061727","000099","52201","N","20231021120008"
"1534","110082243","1146","198109.23465895","541583.21105278","000100","52201","N","20231013120007"
"1535","110082245","1148","193010.98634976","542008.91863501","000135","52201","N","20231020120003"
"1536","110082247","1150","192084.48944652","541422.50140330","000138","52201","N","20231020120003"
"1537","110082248","1151","197324.52239293","542331.41788266","000214","52201","N","20231117120006"
"1538","110082333","1158","194461.41414006","545341.79745451","000121","52205","N","20231029120041"
"1539","110082334","1159","198100.05655448","543571.03674309","000122","52201","N","20231111120009"
"1540","110082336","1161","194278.27605501","542142.99096767","000062","52201","N","20231029120041"
"1541","110082338","1163","194977.86395032","545532.54670382","000041","52201","N","20231115120002"
"1542","110082339","1164","196135.86940753","545386.18298175","000042","52201","N","20231015120025"
"1543","110082340","1165","196148.53542315","545504.19200977","000043","52201","N","20231015120025"
"1544","110082341","1166","195971.24639783","545701.31930549","000044","52201","N","20231107120010"
"1545","110082328","1167","194246.13490495","542561.23698540","000051","52201","N","20231110120028"
"1546","110082329","1168","194085.46797160","542413.37189881","000052","52201","N","20231116120041"
"1547","110082331","1170","192492.42329308","540250.27648394","000058","52201","N","20231016120009"
"1548","110082342","1171","196030.32077339","545129.53751907","000045","52201","N","20231111120009"
"1549","110082025","1172","192106.61511035","540160.94793160","000067","52201","N","20231022120010"
"1550","110082026","1173","191938.18894874","540152.69205039","000069","52203","N","20231109120021"
"1551","110082027","1174","192172.76502478","540507.61001886","000077","52201","N","20231022120010"
"1552","110082032","1177","189821.83546965","542719.16845662","000019","52201","N","20231116120041"
"1553","110082034","1179","189458.10197641","545732.09407118","000053","52201","N","20231111120009"
"1554","110082035","1180","191537.55799343","539934.61072405","000049","52201","N","20231109120021"
"1555","110082036","1181","206790.30245481","558136.63289510","3-7","52201","N","20231115120002"
"1556","110082039","1183","207218.31524774","555428.52786568","4-10","52201","N","20231118120007"
"1557","110082040","1184","206624.95647877","555136.50715613","4-11","52201","N","20231021120008"
"1558","110082041","1185","207005.38175324","555142.62816105","4-12","52201","N","20231021120008"
"1559","110082043","1187","205545.51398075","557461.42639149","4-1","52201","N","20231109120021"
"1560","110082044","1188","204981.18591713","558124.01912823","4-3","52201","N","20231109120021"
"1561","110082045","1189","204810.12393634","558279.30005258","4-4","52201","N","20231109120021"
"1562","110082046","1190","205413.61419143","557877.00198425","4-5","52201","N","20231109120021"
"1563","110082047","1191","205261.78001546","558333.60487039","4-6","52201","N","20231109120021"
"1564","110082443","1014","188596.63579466","548678.40639306","041","52201","N","20231106120008"
"1565","110082444","1015","188060.52233334","548413.09796610","042","52201","N","20231016120009"
"1566","110082445","1016","186670.47824185","546427.12249873","043","52201","N","20231012120004"
"1567","110082447","1018","184759.74485852","548053.07924676","046","52201","N","20231108120004"
"1568","110082450","1020","184531.46752943","548055.32949294","050","52201","N","20231108120004"
"1569","110082451","1021","189102.64540361","546892.56426306","001","52201","N","20231106120008"
"1570","110082452","1022","188187.06782530","545135.34523506","002","52201","N","20231109120021"
"1571","110082453","1023","188697.83289970","549270.49976055","004","52201","N","20231117120006"
"1572","110082455","1025","185579.83466795","546215.58888578","006","52201","N","20231109120021"
"1573","110082456","1026","184665.97301172","548279.63019154","007","52201","N","20231025120007"
"1574","110082457","1027","185294.34738229","547076.22709249","009","52201","N","20231025120007"
"1575","110082462","1031","185176.82667771","548703.47926536","014","52201","N","20231025120007"
"1576","110082463","1032","188253.18867859","548608.57392537","016","52201","N","20231106120008"
"1577","110080864","1034","201674.57853250","552534.78005058","6-29","52201","N","20231024120006"
"1578","110080865","1035","201251.73530686","552492.76368528","6-26","52201","N","20231105120007"
"1579","110080866","1036","199866.63403287","551705.67230608","000081","52201","N","20231111120009"
"1580","110080868","1037","200257.03777366","551774.62868710","000088","52201","N","20231006120001"
"1581","110080869","1038","200756.26060663","552724.85433059","6-39","52201","N","20231116120041"
"1582","110080870","1039","200636.64146769","552768.89347536","6-40","52201","N","20231116120041"
"1583","110080871","1040","200589.88633369","553072.33646068","4-14","52201","N","20231002120010"
"1584","110080874","1042","200086.97441285","551029.25590468","000094","52201","N","20231101120003"
"1585","110080860","1043","200846.17285051","552719.76362276","6-58","52201","N","20231116120041"
"1586","110080861","1044","200813.87870723","552933.06607779","6-38","52201","N","20231116120041"
"1587","110080863","1046","201432.99223083","553237.63049553","6-11","52201","N","20231028120004"
"1588","110080875","1047","199598.83607101","551664.66911728","000095","52203","N","20231111120009"
"1589","110080876","1048","199612.99566640","551426.52342675","000098","52201","N","20231118120007"
"1590","110080045","1050","193625.83483581","554032.80044130","67","52201","N","20231101120003"
"1591","110080046","1051","195324.93726216","554492.16960243","78","52201","N","20231020120003"
"1592","110080048","1053","192810.08229037","553599.64782496","44","52201","N","20231115120002"
"1593","110080049","1054","191630.93303515","554134.77393010","65","52201","N","20231015120025"
"1594","110080051","1055","191655.00589816","553972.68790942","67","52201","N","20231015120025"
"1595","110080053","1057","192253.47247750","558596.68142988","68","52201","N","20231013120007"
"1596","110080056","1060","194238.72523447","551908.36802772","20","52201","N","20231016120009"
"1597","110080059","1063","192394.80671664","553288.89092230","38","52201","N","20231115120002"
"1598","110080060","1064","195276.87350021","555511.15868900","59","52205","N","20231111120009"
"1599","110080061","1065","191801.46599134","555091.78296121","70","52201","N","20231024120006"
